,24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
0,9435667775.48,17586875,bitcoin,1552527209,68790779965,21000000.0,Bitcoin,0.03,0.06,-0.08,1.0,3911.4839882,1,BTC,17586875
1,4207160939.52,105225799,ethereum,1552527198,14028043288,,Ethereum,-0.0,-0.58,-4.2,0.03413677,133.313725151,2,ETH,105225799
2,842906985.987,41432141931,ripple,1552527183,13055117398,100000000000.0,XRP,0.06,1.45,-0.76,8.068e-05,0.315096367,3,XRP,99991683860
3,1468663898.59,60868661,litecoin,1552527186,3421651779,84000000.0,Litecoin,0.67,-1.03,0.05,0.01439427,56.2136852643,4,LTC,60868661
4,1706351493.02,906245118,eos,1552527184,3276384221,,EOS,0.13,-0.95,-4.93,0.00092576,3.6153399969,5,EOS,1006245120
5,223208179.88,17670938,bitcoin-cash,1552527183,2295160903,21000000.0,Bitcoin Cash,0.55,0.86,-2.7,0.03325839,129.883369416,6,BCH,17670938
6,144350463.394,141175490,binance-coin,1552527183,2119324854,,Binance Coin,-0.55,-2.0,1.88,0.00384402,15.0119886266,7,BNB,189175490
7,161651012.389,19215589246,stellar,1552527183,2106256452,,Stellar,1.21,5.64,27.79,2.807e-05,0.1096118586,8,XLM,104802391119
8,7875181101.45,1996357066,tether,1552527188,2015376521,,Tether,-0.1,0.16,-0.12,0.0002585,1.0095270806,9,USDT,2580057493
9,104681858.573,66682072191,tron,1552527183,1490723383,,TRON,-0.17,-0.28,-5.02,5.72e-06,0.0223556847,10,TRX,99281283754
10,28484073.4405,25927070538,cardano,1552527183,1207296986,45000000000.0,Cardano,-0.28,-2.41,8.15,1.192e-05,0.0465651136,11,ADA,31112483745
11,58108411.3436,17669473,bitcoin-sv,1552527189,1155404093,21000000.0,Bitcoin SV,0.39,-0.73,-2.26,0.01674395,65.3898430072,12,BSV,17669473
12,51368480.0547,16850825,monero,1552527181,877366632,,Monero,-0.15,0.73,1.57,0.01333238,52.066685974,13,XMR,16850825
13,12224463.7795,2779530283,iota,1552527182,799022115,2779530283.0,IOTA,0.2,0.84,4.77,7.361e-05,0.2874665984,14,MIOTA,2779530283
14,282729201.151,8686934,dash,1552527182,790348262,18900000.0,Dash,-0.16,-0.28,8.15,0.02329698,90.9812670853,15,DASH,8686934
15,1256531.33606,1000000,maker,1552527182,645548523,,Maker,0.63,-2.18,-5.13,0.16530139,645.548523229,16,MKR,1000000
16,293560474.104,65000000,neo,1552527182,584697509,100000000.0,NEO,-0.35,0.34,1.79,0.00230338,8.9953462975,17,NEO,100000000
17,157451087.388,108943276,ethereum-classic,1552527182,465027160,210000000.0,Ethereum Classic,-0.19,-1.06,-2.51,0.00109301,4.2685255808,18,ETC,108943276
18,19839765.8363,8999999999,nem,1552527181,420010595,,NEM,0.26,1.16,10.47,1.195e-05,0.0466678439,19,XEM,8999999999
19,93099775.0115,324286568,ontology,1552527185,327440244,,Ontology,-1.17,2.89,8.88,0.00025855,1.0097249664,20,ONT,1000000000
20,244211797.629,6089431,zcash,1552527182,314234518,,Zcash,-0.15,-2.78,1.57,0.01321371,51.6032623327,21,ZEC,6089431
21,16317439.5021,55454734800,vechain,1552527187,286087210,,VeChain,1.05,-2.77,18.1,1.32e-06,0.0051589321,22,VET,86712634466
22,3167391.82269,607489041,tezos,1552527183,272158290,,Tezos,-0.8,-2.26,6.65,0.00011472,0.4480052674,23,XTZ,763306930
